experiment,arrangement,num_defects,defect_strength,defect_sites,mean_ipr,max_ipr,transport_score
defect_number_sweep,random,1,2.0,3,0.056056335687470794,0.5339720346564429,17.839196724796103
defect_number_sweep,random,2,2.0,26;30,0.07269282243964974,0.28888589385374747,13.756516344240305
defect_number_sweep,random,3,2.0,3;16;33,0.11555368198758079,0.5338141829445054,8.65398646585295
defect_number_sweep,random,4,2.0,3;20;29;38,0.10382006118270967,0.5776293057369675,9.63204980432569
defect_number_sweep,random,5,2.0,4;17;18;20;31,0.1339811500536589,0.5311716398232761,7.4637365002427885
defect_number_sweep,random,6,2.0,14;17;18;20;22;30,0.13927470323475513,0.5301058318982433,7.180054789378695
defect_number_sweep,random,7,2.0,6;9;23;28;29;38;39,0.12339443064865627,0.5309354524046993,8.104093472802857
defect_number_sweep,random,8,2.0,1;6;13;17;18;21;25;33,0.1733618279277629,0.5254118939334056,5.768282510361416
defect_number_sweep,random,9,2.0,2;7;10;12;13;17;18;30;37,0.1703199629271201,0.4977272648081794,5.871302358302532
defect_number_sweep,random,10,2.0,3;5;11;13;17;21;24;27;29;32,0.16758179990951064,0.31032125866616295,5.96723510870495
defect_number_sweep,random,11,2.0,0;6;11;17;24;25;27;28;34;36;38,0.16501724886207145,0.6037188846335174,6.059972559813085
defect_number_sweep,random,12,2.0,2;3;14;18;19;20;21;23;26;27;29;38,0.18609203698660298,0.5772269797305789,5.373685065696773
defect_number_sweep,random,13,2.0,1;5;7;9;10;16;24;25;26;27;29;32;33,0.19493322587359055,0.5474323951746266,5.129961788291934
defect_number_sweep,random,14,2.0,0;2;5;15;18;19;22;23;24;28;31;32;35;38,0.19374937989494345,0.5054526740330901,5.16130684156114
defect_number_sweep,random,15,2.0,3;8;9;10;15;23;27;28;30;33;34;35;36;37;39,0.19426149708153506,0.5673036880938895,5.147700470877571
defect_strength_sweep,fixed_random,5,0.1,3;17;24;28;39,0.03739930592556678,0.04434184283985671,26.738464130597237
defect_strength_sweep,fixed_random,5,0.2689655172413793,3;17;24;28;39,0.041805816399416364,0.06602140336278106,23.920116532252692
defect_strength_sweep,fixed_random,5,0.4379310344827586,3;17;24;28;39,0.048288467752872904,0.11290987906756351,20.70887825883656
defect_strength_sweep,fixed_random,5,0.6068965517241379,3;17;24;28;39,0.05567397605270628,0.17148656274721646,17.961713369515856
defect_strength_sweep,fixed_random,5,0.7758620689655172,3;17;24;28;39,0.06529572328673763,0.22465382271934886,15.314938707526537
defect_strength_sweep,fixed_random,5,0.9448275862068966,3;17;24;28;39,0.07498253626949673,0.27252807737007273,13.336438719622304
defect_strength_sweep,fixed_random,5,1.113793103448276,3;17;24;28;39,0.08533246834749313,0.31791056603260215,11.71886878893241
defect_strength_sweep,fixed_random,5,1.2827586206896553,3;17;24;28;39,0.09560704068916862,0.3621043966132115,10.459480732712299
defect_strength_sweep,fixed_random,5,1.4517241379310346,3;17;24;28;39,0.10568883278187124,0.4052724191006905,9.46173757130876
defect_strength_sweep,fixed_random,5,1.620689655172414,3;17;24;28;39,0.1152959183971761,0.44904827947156534,8.6733339211121
defect_strength_sweep,fixed_random,5,1.7896551724137932,3;17;24;28;39,0.12436241157646585,0.5242281771601756,8.04101486392564
defect_strength_sweep,fixed_random,5,1.9586206896551726,3;17;24;28;39,0.1328823084621563,0.5864700294474368,7.52545625955009
defect_strength_sweep,fixed_random,5,2.127586206896552,3;17;24;28;39,0.14081168031783506,0.638119243868115,7.101683594307205
defect_strength_sweep,fixed_random,5,2.2965517241379314,3;17;24;28;39,0.14810732093684736,0.6812326090617682,6.751860702594153
defect_strength_sweep,fixed_random,5,2.4655172413793105,3;17;24;28;39,0.15477028170161483,0.7174654739905374,6.461188730843838
defect_strength_sweep,fixed_random,5,2.6344827586206896,3;17;24;28;39,0.16084560496804987,0.748126733227175,6.217142210373971
defect_strength_sweep,fixed_random,5,2.803448275862069,3;17;24;28;39,0.16639892174927176,0.7742491133525795,6.009654326407175
defect_strength_sweep,fixed_random,5,2.9724137931034487,3;17;24;28;39,0.17149612438360615,0.7966496815395141,5.831035561848494
defect_strength_sweep,fixed_random,5,3.1413793103448278,3;17;24;28;39,0.17619297809398032,0.8159779714487634,5.675595082266024
defect_strength_sweep,fixed_random,5,3.310344827586207,3;17;24;28;39,0.18053236881785065,0.8327533066632066,5.5391728726993925
defect_strength_sweep,fixed_random,5,3.4793103448275864,3;17;24;28;39,0.18454587987166512,0.8473934863555617,5.418706723202973
defect_strength_sweep,fixed_random,5,3.648275862068966,3;17;24;28;39,0.1882571443333501,0.8602367832085566,5.311883400447651
defect_strength_sweep,fixed_random,5,3.817241379310345,3;17;24;28;39,0.1916852905546776,0.8715588343958112,5.216884389544504
defect_strength_sweep,fixed_random,5,3.986206896551724,3;17;24;28;39,0.19484760265900603,0.881585653988142,5.132216082483985
defect_strength_sweep,fixed_random,5,4.155172413793103,3;17;24;28;39,0.19776111719729003,0.8905037024997987,5.056605738135986
defect_strength_sweep,fixed_random,5,4.324137931034483,3;17;24;28;39,0.20044324825607368,0.8984677197373867,4.9889432979177375
defect_strength_sweep,fixed_random,5,4.493103448275862,3;17;24;28;39,0.2029117292393757,0.9056068519771995,4.928251332481112
defect_strength_sweep,fixed_random,5,4.662068965517241,3;17;24;28;39,0.2051842089333106,0.9120294727415346,4.87366939784836
defect_strength_sweep,fixed_random,5,4.8310344827586205,3;17;24;28;39,0.2072777752800526,0.9178269979836454,4.824443906969293
defect_strength_sweep,fixed_random,5,5.0,3;17;24;28;39,0.20920856633855806,0.9230769230768268,4.779918994242903
defect_arrangement_comparison,random,5,2.0,3;17;24;28;39,0.1348809304821264,0.6000124102908362,7.413946481726814
defect_arrangement_comparison,clustered,5,2.0,3;4;5;6;7,0.07135887570744306,0.3431706187731889,14.013673703321748
defect_arrangement_comparison,spread,5,2.0,0;9;19;29;39,0.10609055946714993,0.6001392227101398,9.425909383668033
